course_number,course_title,professor,credits,class_cap,primary_schedule_day,primary_schedule_start_time,primary_schedule_end_time,primary_schedule_location,secondary_schedule_day,secondary_schedule_start_time,secondary_schedule_end_time,secondary_schedule_location,distributional_area,crosslists,additional_schedule,description,crn_number,program,source
HIST 331,"Latin America: Race, Religion and Revolution","Miles Rodriguez",4,12,Tue Thurs, 11:50, 13:10, "Olin Languages Center 206",,,,,"HA, D+J","Global & International Studies; Human Rights; Latin American/Iberian Studies","","This research seminar will study the violent interactions between race, religion, and revolution in Latin America from the early twentieth-century to the present, to understand how these interactions have mattered to the region’s history and how they explain some of its most violent current conflicts. The very name “Latin America” derived from and became associated with specific racial, religious, and revolutionary meanings through a history of violence. The seminar will begin by studying how racial concepts formed and became fixed ideas through distinct revolutionary-inspired intellectual debates on interracial mixture and indigenous rights. Based in Mexico and Peru, the formation of concepts like global mestizaje, a “cosmic race,” and indigenismo involved rival valuations of each nation’s indigenous and colonial histories and cultures, with lasting effects. The seminar will then explore the simultaneous rise of wars and conflicts over radically different religious meanings and faiths, within and outside of Catholicism, including native religions and the rise of Evangelical Protestant Christianity. The latter part of the seminar will focus on Guatemala, which dramatically combined extreme violence over race, religion, and revolution, and focused global attention on indigenous rights and human rights. These histories will allow for a deeper understanding of the rise of different forms of violence in Central America today, and therefore of the current human rights, migrant, and refugee crisis centered there and involving other parts of Latin America and the US. This seminar emphasizes the narratives, interpretations, and voices of participants in the history, and critical engagement with these primary sources in the writing of the history. This course is part of the Racial Justice Initiative, an interdisciplinary collaboration among students and faculty to further the understanding of racial inequality and injustice in the United States and beyond.",92054,Latin American and Iberian Studies,https://inside.bard.edu/academic/courses/fall2023/lais.html
SOC 122,"Sociology of Race & Ethnicity","Jomaira Salas Pujols",4,22,Tue Thurs, 13:30, 14:50, "Olin 202",,,,,"SA, D+J","Africana Studies; American & Indigenous Studies; Human Rights; Latin American/Iberian Studies","","The Movement for Black Lives, the rise of white nationalist groups, and U.S. racial demographic changes have put issues of race and racism at the forefront of national conversations, but what is race and how did it become so important? This course introduces students to sociological approaches to race and ethnicity. We will examine race as a socially constructed category by engaging with multiple sociological theories and accounts of contemporary racial problems. We will answer questions such as, what is meant when we say race is socially constructed and not biological? What are the sociohistorical processes that have cemented racial stratification? And how does the lived experience of being racialized intersect with other social categories such as gender, immigration status, and socioeconomic class? Together, we will also tackle the task of defining, deconstructing, and connecting concepts such as racism, discrimination, anti-Blackness, and intersectionality. At the end of the course, students will discuss the consequences of race and ethnicity and consider alternatives for social change.",92113,Latin American and Iberian Studies,https://inside.bard.edu/academic/courses/fall2023/lais.html
SPAN 106,"Basic Intensive Spanish","John Burns",8,22,Mon Tue Wed Thurs, 10:30, 11:30, "Olin Languages Center 115",,,,,"FL","Latin American/Iberian Studies","Mon Tue Wed Thurs 12:00-13:00 Olin Languages Center 115, Mon Tue Wed Thurs 12:00-13:00 ","This is an introductory course designed for the student who has had little or no previous exposure to the study of Spanish. Students will complete twelve credits–or the equivalent of three semesters of college Spanish–in five months (eight credits at Bard in the fall and four credits in Mexico during the January intersession). Students will attend eight hours of regular class per week, plus an additional two hours of review and practice with the Spanish tutors. Aural comprehension, verbal expression, and reading and writing skills will be developed through intensive grammar study and a variety of approaches stressing both communication and cultural competency. Conducted in Spanish. SPAN 106: Students interested in this course should contact Prof. Burns: jburns@bard.edu.",92001,Latin American and Iberian Studies,https://inside.bard.edu/academic/courses/fall2023/lais.html
SPAN 201,"Intermediate Spanish I","Nicole Caso",4,22,Mon Tue Thurs, 11:50, 13:10, "Olin Languages Center 208",,,,,"FL","Latin American/Iberian Studies","","For students who have completed Spanish 106, 110, or the equivalent (two or three solid years of high school Spanish). This course is designed to perfect the student’s command of all four language skills (speaking, aural comprehension, reading, and writing). This will be achieved through an intensive grammar review, conversational practice, reading of modern Spanish texts, writing simple compositions, and language lab work. Permission of the instructor required for students who have not completed Spanish 106 or 110 at Bard.",92002,Latin American and Iberian Studies,https://inside.bard.edu/academic/courses/fall2023/lais.html
SPAN 202,"Intermediate Spanish II","Melanie Nicholson",4,22,Mon Tue Thurs, 11:50, 13:10, "Olin Languages Center 210",,,,,"FL","Latin American/Iberian Studies","","This course continues refining the student’s mastery of the four basic skills in Spanish at a post-intermediate level. The textbook offers an integration of literature, culture, and film. Our study of both visual and written texts focuses on critical thinking, interpretation, speaking, and writing skills. Prerequisite: Spanish 201 or equivalent; permission of instructor required for those who have not completed 201 at Bard.",92003,Latin American and Iberian Studies,https://inside.bard.edu/academic/courses/fall2023/lais.html
SPAN 302,"Introduction to Latin American Literature","Nicole Caso",4,14,Tue Thurs, 13:30, 14:50, "Olin Languages Center 210",,,,,"FL","Latin American/Iberian Studies","","This course serves as an introduction to the interpretation of literary texts from Latin America. It covers a broad range historically—from pre-Conquest times to the present—and presents all literary genres, including poetry, short stories, novels, essays, and plays. In order to make sense of the broad chronological and geographical span of this literature, we will focus on seven separate modules, each highlighting a core moment or key figure in the development of Latin American culture. This course is intended to prepare students for more advanced and specialized seminars in Hispanic literature. Attention is paid to the expression of complex thought in response to literary texts, both verbally and in writing. Conducted in Spanish.",92004,Latin American and Iberian Studies,https://inside.bard.edu/academic/courses/fall2023/lais.html
HEB 101,"Hebrew Language and Culture",". TBA",4,22,Mon Wed Thurs, 11:50, 13:10, "Hegeman 300",,,,,"FL","Jewish Studies; Middle Eastern Studies","","This introductory course will treat learning Hebrew as the study of both language and culture. Students will cover basic linguistic skills – reading, writing, and speaking – while engaging with a wide variety of texts and other media from across the many-thousand-year history of Hebrew in diaspora and modern Israel, from antiquity until our day. No background knowledge or exposure is required; individual interests – in topics as diverse and interdisciplinary as Biblical and Rabbinic literature, mystic alphabets, socialist folk songs, contemporary cinema and Hebrew’s many mutually enriching bilingual entanglements (e.g. Yiddish, Arabic) – are encouraged. By semester’s end, it is hoped that students will have acquired the foundation necessary for further language study, while also having immersed themselves in the oceanic literary, musical, visual, artistic, religious, and secular traditions (etc.!) conducted in Hebrew.",91986,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
HEB 201,"Intermediate Hebrew",". TBA",4,15,,,,,,,,,"FL","Jewish Studies; Middle Eastern Studies","","This intermediate course in Hebrew language and culture builds on the material covered in the first year of study, and begins to engage directly, in Hebrew, with Hebrew language materials. Students will continue to cover basic linguistic skills – reading, writing, and speaking – while discussing a wide variety of texts and films from across the many-thousand-year history of Hebrew in diaspora and modern Israel, from antiquity until our day. Depending on student interest, targeted units in Biblical and Rabbinic Hebrew may be offered. Conducted mainly in Hebrew. Interested student should contact Professor Kuznitz (kuznitz@bard.edu).",91987,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
HIST 181,"Jews in the Modern World","Cecile Kuznitz",4,22,Tue Thurs, 13:30, 14:50, "Hegeman 201",,,,,"HA, D+J","Jewish Studies","","In the modern period Jews faced unprecedented opportunities to integrate into the societies around them as well as antisemitism on a previously unimaginable scale. In response to these changing conditions they reinvented Jewish culture and identity in radically new ways. This course will survey the history of the Jewish people from the early modern period until the aftermath of the Holocaust and the establishment of the State of Israel. It will examine such topics as the social, intellectual, and economic factors leading to greater toleration at the start of the modern period; the varying routes to emancipation in Western Europe, Eastern Europe, and the Islamic world; acculturation, assimilation, and their discontents; Jewish nationalist movements such as Zionism; the rise of modern antisemitism culminating in the Holocaust; the establishment of the State of Israel; and the growth of the American Jewish community.",92035,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
LIT 2404,"Fantastic Journeys and the Modern World","Jonathan Brent",4,20,Fri, 15:00, 17:20, "Olin 202",,,,,"LA","","","We will explore the literature of the Fantastic of Eastern Europe and Russia from the early 20th century to the 1960s in writers such as Ansky, Kharms, Kafka, Capek, Schultz, Mayakovsky, Erofeyev, Olesha and others. Fantastic literature, as Calvino has noted, takes as its subject the problem of “reality.” In this class, we will discuss questions of identity, meaning, consciousness, as well as understanding of the relationship between the individual and society in these writers. This course is part of the World Literature offering.",92478,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
LIT 276B,"Chosen Voices: Jewish Authors","Elizabeth Frank",4,22,Wed Thurs, 8:30, 9:50, "Olin 308",,,,,"LA, D+J","Jewish Studies; Russian and Eurasian Studies","","In this course we will read major nineteenth and twentieth-century Jewish authors who, in their attempts sometimes to preserve Jewish tradition and just as often to break with it (or to do a little of both), managed to make a major contribution to secular Jewish culture. The struggle to create an imaginative literature by and about Jews is thus examined with respect to often conflicted literary approaches to questions of Jewish identity and history (including persistent anti-Semitism in the countries of the Diaspora and the catastrophe of the Holocaust). In the process we will discuss such notions as Jewish identity and stereotypes, questions of “apartness“ and “insideness,“ and explore literary genres such as the novel, the tale, the fable, the folktale and the joke in relation to traditional forms of Jewish storytelling, interpretation and prophecy. We will look as well at what it is that makes “Jewish humor“ both Jewish and funny and consider the consequences of a particular author's decision to write in either Hebrew or Yiddish, or in a language such as Russian, German or English. We will discuss as well Jewish participation in literary modernism. Authors include Rabbi Nachman of Bratzslav, Isaac Leib Peretz, Sholem Aleichem, Isaac Babel, Franz Kafka, Bruno Schulz, Primo Levi, Isaac Bashevis Singer, Bernard Malamud, Grace Paley, Aharon Appelfeld, Leslie Epstein, and Angel Wagenstein. This course is part of the World Literature offering.",92137,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
PHIL 277,"The Frankfurt School: Social Sciences and Humanities Revisited from the Hotel Abyss","Archie Magno",4,15,Tue Thurs, 11:50, 13:10, "Olin 304",,,,,"MBV","German Studies; Human Rights; Jewish Studies","","The German Left of the 20th century elaborated a unique philosophical tradition which combined Marxism with many trends of post-idealist thought, such as Hegelianism, psychoanalysis, and phenomenology. The group of Jewish intellectuals who built upon these positions and formed the Frankfurt institute in the 1920s underwent a vertiginous biographical and intellectual trajectory, from the radical outcasts and emigrants, to the academic establishment of the post-war Germany, from revolutionary Marxism to the Cultural Left and further to a synthesis with the Anglo-American liberalism in today’s Critical Theory. The richness and breadth of their contribution to contemporary philosophy and political theory is hard to overestimate. In the course, we will read and discuss the main authors of the school: Benjamin, Reich, Adorno, Horkheimer, Marcuse, Habermas, Honneth, Negt, and others, against the turbulent historical context of the German 20th century.",92088,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
REL 104,"Creating Judaism","Shai Secunda",4,20,Mon Wed, 8:30, 10:50, "Hegeman 106",,,,,"MBV, D+J","Jewish Studies; Middle Eastern Studies","","For millennia, the Jewish tradition has played a sizable role in religious and world history. Jewish communities have flourished around the globe – from the Americas to the Far East – and a dizzying variety of Jewish traditions (some would say “Judaisms”) have developed in these different climes and times. Notwithstanding the common misperception of a single Jewish ethnicity, Judaism presents us with a fascinating test-case of a distinct, even parochial, tradition that constantly takes up new shape and color while maintaining a “family resemblance” with parallel expressions of Judaism. This course introduces students to some of the foundational practices, ideas, and expressions of Judaism while grappling both with its inner diversity, as well as its sense of coherence. We will emphasize the formative history of rabbinic Judaism in ancient and medieval times, but also consider the modern development of new traditions out of that Judaism, including Hassidism, the Haskala (Jewish Enlightenment), modern European and American denominations (Reform, Orthodox, Conservative et al), Zionism, and so-called “cultural” Judaism.",92073,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
REL 216,"Jewish Mysticism","Shai Secunda",4,20,Mon Wed, 16:40, 19:00, "Olin Language Center 206",,,,,"MBV","Jewish Studies; Middle Eastern Studies","","Where is God? What is language? What is love? What is evil? These are just a few of the questions that have preoccupied the Jewish mystical tradition, beginning with its late antique visionary origins, and continuing with the poetic meditations of the Zohar, the systematic speculations of Lurianic Kabbalah, and on to the heretical ecstasies of Jewish false messiahs, the Hassidic movement, and more recent intersections with New Age. We will read primary Jewish mystical texts (in translation), secondary works of scholarship, especially the foundational scholarship of Gershom Scholem, and important tertiary texts, such as the correspondence that Scholem maintained with Hannah Arendt, which touched upon Jewish mysticism and its contemporary significance. Class will meet September 4, 6, 11, 13, October 11, 16, 18, 23, 25, November 6, 8, 13, 15, 27, 29, and December 4. During periods when class does not meet, students will meet individually/in small groups with instructor over Zoom to plan and produce class projects.",92080,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
REL 329,"Derrida","Bevin Blaber",4,16,Wed, 15:30, 17:50, "Olin 304",,,,,"MBV, D+J","Human Rights; Jewish Studies; Philosophy","","Jacques Derrida was one of the most influential philosophers of the 20th century. He was also a prolific and notoriously challenging writer, as well as an at-times controversial thinker. In this class, we will explore some of Derrida’s most impactful and provocative writings. We will situate his work in broader philosophical and political contexts while also asking what might remain enduringly useful about his thought. We will approach his thinking on topics including language, ethics, law, and animals as fundamentally political work and consider carefully the implications of his claims.",92081,Jewish Studies,https://inside.bard.edu/academic/courses/fall2023/js.html
BIO 158,"Case Studies in Medical Biology","Brooke Jude",4,18,Tue Thurs, 13:30, 16:30, "Reem Kayden Center 111/112",,,,,"LS","Global Public Health","","To fully understand the major systems of the human body, in the context of both healthy and diseased state, one must examine aspects of the biological, chemical, and physical properties contributing to their function. This course will utilize MCAT style questions and case studies as a platform to learn scientific theories and principles in basic biology, genetics, molecular biology, biochemistry, physiology and other sub disciplines. In laboratories, students will gain hands on experience in testing these principles. Additionally, students will practice evaluating evidence, interpreting and presenting data, and various ways of science communication. This course is intended as both the entry to the biology major as well as an introductory biology course for students intending on applying to medical/dental/veterinary school post-graduation. Prerequisites: students must have taken high school biology and chemistry, and passed the Mathematics Placement exam.",91883,Global Public Health,https://inside.bard.edu/academic/courses/fall2023/gph.htm
ANTH 299,"Queer Theories, Familiar Families","Andrew Bush",4,22,Tue Thurs, 15:30, 16:50, "Olin Languages Center 118",,,,,"SA, D+J","American & Indigenous Studies; Gender and Sexuality Studies","","This course considers queer theory as an analytic framework for understanding how norms work across all kinds of social relations, with a special focus on family formations. We focus on “familiar” kinship formations, e.g., the heteronormative nuclear family, as a forum for relations where queer tendencies are always already emerging, receding, cultivated, or suppressed. After an introduction to the queer analytic in anthropology, the course turns to ethnographic work on kinship, marriage, and family. What are the senses of “queer” beyond gender or sexual identity? In addition to a critique of their normative powers, what light does queer theory shine on apparently familiar formations of family and kinship?",92015,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
ANTH 373,"Economic Anthropology: Feminist Perspectives",". TBA",4,15,Tue, 12:30, 14:50, "Olin 301",,,,,"SA, D+J","Gender and Sexuality Studies; Global & International Studies","","The “economy” or the “economic sphere” is not natural, inanimate or inevitable. Nor is it reducible to “business” or “markets.” Rather, anthropology helps us recognize that economic systems are made up of socially and historically situated projects, practices, ideologies and relationships. Do economic systems produce culture or does culture shape economic systems? Is there an “economic logic” to everything we do? Why are certain kinds of work designated “labor” while others are simply social acts? In this class, we will tackle these questions by drawing on a variety of readings rooted in feminist and global approaches to the study of economies and economic life. We will interrogate how race, gender and colonialism are central to the formation and functioning of capitalism, and how labor and commodities come to be valued (or devalued) through social processes, rather than intrinsic market logic. We will explore how mundane, everyday activities – such as drinking coffee or doing the dishes – can help us think about large-scale concepts such as political economy, neoliberalism and globalization. Finally, we will end the course by thinking about the place of digital infrastructures in global capitalism, and how these technologies are transforming our relationships to working and living in our contemporary worlds.",92017,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
AS 200,"The Haunting of America: History, Ghosts and the Undead","Donna Grover",4,22,Tue Thurs, 15:30, 16:50, "Olin 201",,,,,"HA, D+J","Africana Studies; Gender and Sexualities Studies","","America’s gendered and racialized politics of empire have produced spectral spaces throughout its national narratives. Like a haunted house, America holds onto certain terrors and traumas long after the original events and people have gone. Through history, literature, and film, this course examines such spaces and the ghosts and undead swirling in public memory at the edges of our supposed reality. We will consider how ghosts both distract from and center historical accounts, including: the haunted Gettysburg battlefield and the history of the Civil War; the yoga and magic workshops of Salem, Massachusetts, and the Puritan witch craze; and contemporary racial unrest and the ghosts of enslaved and murdered Native Americans and Africans. American hauntings are experienced as personal and multi-generational. In William Faulkner’s Light in August, it is the dead “that do the damage.” We will study this phenomenon in works by Edgar Allan Poe, Charles Brockden Brown, Shirley Jackson, Jordan Peele, Victor La Salle and others.",92007,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
ECON 214,"Labor Economics","Michael Martell",4,22,Mon Wed, 17:10, 18:30, "Hegeman 102",,,,,"SA, D+J","American & Indigenous Studies; Gender and Sexuality Studies; Human Rights","","This course focuses on the economic forces and public policies that affect employment and wages. We examine theoretical models of labor markets and how well they hold up to real-world empirical data. Topics emphasized include labor demand and supply, minimum wage laws, theories of unemployment, job search and matching models, family and life-cycle decision-making, human capital, efficiency wage theory, compensating wage differentials, worker mobility and migration, unions, and discrimination. Prerequisite: Economics 100.",91964,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
HR 226,"Women's Rights, Human Rights","Robert Weston",4,22,Tue Thurs, 15:30, 16:50, "Olin 101",,,,,"SA, D+J","Gender and Sexuality Studies; Global & International Studies","","(HR core course.) This course provides students with a broad overview of women’s struggles for liberation from global patterns of masculine domination. Following an examination of the historical and conceptual origins of patriarchal systems, the traffic in women, and the sexual division of labor, the bulk of the course engages students with the critical appropriations and contestations of Marxism, structuralism & psychoanalysis central to post-’68 feminist theory and “second-wave feminism.” Students will become familiar with topics such as classical psychoanalytic and post-structuralist theories of sexual difference, écriture feminine, The “feminist sex wars,” and 70s debates surrounding the NOW & ERA movements, before turning in the final segment of the course to issues of race & class at the center of “third wave feminism.” Designed as a survey of major developments in feminist discourse, the course is framed from a global human rights perspective, always mindful of issues such as suffrage, property rights & Equal Pay, forced marriage, reproductive rights & maternal mortality, female genital mutilation, sex-trafficking & prostitution. Readings include texts ranging from Xenophon, Plato & Aristotle, to Friedan, Solanas, Koedt, Dworkin, Duggan, MacKinnon, & Allison, from Lerner, Federici & Mies, to Rubin, Wittig, De Lauretis, Traub, Irigaray, Kristeva, Cixous, Butler, Moraga, Andalzùa, hooks, Collins and Crenshaw.",92061,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
HR 354,"Reproductive Health and Human Rights","Helen Epstein",4,20,Thurs, 9:10, 11:30, "OSUN Course",,,,,"SA, D+J","Africana Studies; Gender and Sexuality Studies; Global & International Studies","","Centuries ago, a radical shift in attitudes and norms concerning sexual, reproductive and family life began spreading from one society to another. Scholars call it the Demographic Transition, narrowly defined as a progressive reduction in the size of families and an increase in the survival of children, but its causes and consequences included political turmoil, personal and romantic upheavals, intellectual and artistic movements, the spread of diseases like syphilis and AIDS and new ideas about self and identity. This Online Open Society University Network course will explore how individuals, groups and governments have responded, and continue to respond, to these changes through policy and social movements related to population, contraception, sexually transmitted diseases, sex work and sex trafficking, maternal mortality, abortion, gender violence and other issues. The course will draw on case studies from around the world that illustrate both how discrimination and exclusion worsen reproductive health problems and even create new ones, and how positive advances in health and rights have come about. This is an OSUN online course.",92070,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
LIT 2052,"Is Feminist Solidarity Possible?","Alys Moody",4,22,Mon Wed, 15:30, 16:50, "Hegeman 106",,,,,"LA, D+J","Gender and Sexuality Studies; Global & International Studies; Human Rights","","Can women unite with one another to promote their own liberation, or is the category of “woman” irrevocably fractured by differences of class, race, sexuality, and nation? Is there even such a thing as a “woman,” in a political sense? These questions have formed the basis of a decades-long debate within feminism about whether calls for solidarity between women can be separated from divisions within the category of woman. This class follows the challenges to feminist solidarity posed by lesbian feminism, Marxist and working class feminisms, US black feminism, and Third World feminisms, with the aim of working collectively to imagine what feminist solidarity might look like today. We will read theoretical debates alongside literary texts, asking how literary effects of empathy, identification, and representation intervene in these debates. Authors studied will include theorists such as Monique Wittig, Chandra Mohanty, Gayatri Chakravorty Spivak, Silvia Federici, Jodi Dean, and the Combahee River Collective, and literary writers including Adrienne Rich, Audré Lorde, Ama Ata Aidoo, Mahasweta Devi, and others. Students from all programs are welcome, and no background in feminist theory or literary studies is expected, just a willingness to think critically about these difficult problems. This course is part of the World Literature course offering.",92151,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
PSY 220,"Social Psychology","Kristin Lane",4,22,Tue Fri, 13:30, 14:50, "Reem Kayden Center 103",,,,,"SA","Gender and Sexuality Studies; Sociology","","Social Psychology is the scientific study of human thought, behavior, and feelings in their social contexts. This class will survey many of the processes that influence and are influenced by our interactions with others, such as attitude formation and change, conformity and persuasion. We will also use principles of social psychology to understand the ordinary origins of benevolent (e.g., altruism, helping behavior) and malevolent (e.g., aggression, prejudice) aspects of human behavior. Throughout the course, we will emphasize the influence of culture, race, and gender on the topics addressed. Students should have completed Introduction to Psychological Science or its equivalent. This course fulfills the Cluster B requirement for the Psychology Major.",91950,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
SOC 262,"Sexualities","Allison McKim",4,20,Tue Thurs, 11:50, 13:10, "Olin 101",,,,,"SA, D+J","American & Indigenous Studies; Gender and Sexuality Studies; Human Rights","","Although sexuality is often considered to be inherently private and individual, this course examines sexuality as a social phenomenon. It looks at the social organization of sexuality and at how these arrangements shape people’s experiences and identities. We consider why/how patterns of sexuality have changed over time, how the social control of sex operates, and how new categories of sexuality emerge. We ask how people use sexuality to define themselves, challenge or reinforce social hierarchies, mark moral boundaries, and produce communities. The course begins with an introduction to theories of sexuality, including the historical construction of sexuality as a form of identity, its relationship to gender, and the role of power and inequality. We unpack these theoretical questions through the history of sexuality in the United States. The course pays special attention to sexuality’s relationship to gender, race, and class; to changing economic and social structures; and to state governance. This provides a basis for looking at contemporary sexual politics, medicalization, notions of selfhood, hook-up culture, and feminist debates about prostitution and pornography.",92119,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
SOC 281,"Children, Youth, & Society","Jomaira Salas Pujols",4,22,Tue Thurs, 15:30, 16:50, "Hegeman 308",,,,,"SA, D+J","Africana Studies; American & Indigenous Studies; Gender and Sexuality Studies","","While we tend to think of childhood and adulthood as distinct social categories, the idea of childhood has not always existed. This course uses sociological insights to examine the emergence of childhood as a social category and its contemporary manifestations. It asks, what does it mean to be a child or youth? Who has access to childhood? And how do social contexts shape the childhood experience? We will use an interdisciplinary lens to examine how the idea of childhood has changed over time and across different cultural contexts. We will also pay special attention to how inequality shapes children and youths’ lives, analyzing its intersections with race, gender, citizenship, and socioeconomic class. At the end of the course, we will consider how children shape their own worlds, positioning them as active agents who do not just learn to understand their environments but also shape them.",92121,Gender and Sexuality Studies,https://inside.bard.edu/academic/courses/fall2023/gss.html
ARTS 235,"Introduction to Media","Joshua Glick",4,20,Mon Wed, 15:30, 16:50, "Olin 102",,,,,"AA","Human Rights; Studio Art","","This course offers a foundation in media history and theory, with particular focus on how artists have experimented with emerging technologies and changing media landscapes in ways that both reflect and transform culture. We will consider old and new forms alike, from print media to social media, from the camera obscura to photography, from broadcast television to early net.art, and from the diorama to virtual reality, as we explore how media have continually constructed our perceptions of time, space, knowledge, and identity. We will read media theorists such as Walter Benjamin, Marshall McLuhan, Jessica Marie Johnson, Donna Haraway, Lev Manovich, Erkki Huhtamo, and Lisa Nakamura alongside examining the work of artists such as Nam June Paik, Stephanie Dinkins, Guillermo Goméz-Peña, Wendy Red Star, Ricardo Dominquez, Mary Flanagan, and Will Wilson. We will also spend hands-on time working creatively with media, in order to assess our own positions as producers as well as users and consumers of media. This course fulfills a requirement for the Experimental Humanities concentration.",92430,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
ARTS 323,"Social Media and Activism","Fahmidul Haq",4,15,Wed, 9:10, 11:30, "New Annandale House",,,,,"AA","","","Social media has transformed into profit-driven platforms that monetize user data by selling it to marketers. Despite this, many individuals have attempted to leverage these platforms for social change. In recent years, social and political movements have effectively utilized social media as a tool for advancement. This course will explore the various aspects of social media activism. Theoretical concepts by Manuel Castells, Christian Fuchs, and Zeynep Tufekci will be explored, with an emphasis on major movements such as the Arab Spring, Occupy Wall Street, #metoo, #blacklivesmatter, as well as movements from countries like Hong Kong, India, Nigeria, and Bangladesh. Discussion will focus on issues and challenges related to digital activism, including platform capitalism, misinformation, alt-right populism, and the collaboration between platforms and governments. Additionally, the course will delve into the future of social media activism. Work will include several short assignments as well as a research project.",92479,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
ARCH 111 TT,"After the Object: Relational Architecture","Thena Tak",4,12,Mon, 10:10, 13:10, "Garcia-Renart House",,,,,"PA","Environmental & Urban Studies; Environmental Studies; Experimental Humanities","","",92182,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
ARCH 111 SL,"How to Build a Ruin","Stephanie Lee",4,12,Wed, 10:10, 13:10, "Garcia-Renart House",,,,,"PA","Environmental & Urban Studies; Environmental Studies; Experimental Humanities","","",92183,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
ARCH 111 BC,"New Manuals: Redesigning Architectural Rituals","Betsy Clifton",4,12,Mon, 13:30, 16:30, "Garcia-Renart House",,,,,"PA","Environmental & Urban Studies; Environmental Studies; Experimental Humanities","","",92189,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
ARCH 214 SL,"Post-Eden: Conflicts, Coloniality and Plants","Stephanie Lee",4,12,Tue, 13:30, 16:30, "",,,,,"PA, D+J","Environmental & Urban Studies; Environmental Studies; Experimental Humanities","Thurs 13:30-15:30 , Thurs 13:30-15:30 ","",92188,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
ARTH 225,"Art and Environment: Perspectives on Land, Landscape, and Ecology","Julia Rosenbaum",4,22,Tue Thurs, 15:30, 16:50, "Olin 205",,,,,"AA","American & Indigenous Studies; Environmental & Urban Studies; Environmental Studies; Experimental Humanities","","",91863,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
ARTH 318,"Dura-Europos and the Problems of Archaeological Archives (Part 1)","Anne Chen",2,10,Wed, 9:10, 11:30, "Olin 301",,,,,"AA","Classical Studies; Experimental Humanities; Human Rights; Middle Eastern Studies","","",91857,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
BIO 102,"Food Microbiology","Gabriel Perron",4,16,Fri, 12:30, 16:30, "Reem Kayden Center 111/112",,,,,"LS","Experimental Humanities","","In this course designed for non-majors, we will study the microorganisms that inhabit, create, or contaminate food. The first half of the course will introduce students to topics in food safety such as food spoilage, food borne infections, and antibiotic resistance. In the second half of the course, students will learn how to harness the capabilities of the many microbes present in our environment to turn rotting vegetables or spoiling milk into delicious food. Students will also learn how next-generation technologies are revealing the important ecological dynamics shaping microbial communities in transforming food with possible beneficial effects on human health. Throughout the course, students will learn how to design, conduct, and analyze simple experiments while working with microbiology techniques, including DNA sequencing. No prerequisite.",92090,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
CMSC 226,"Principles:Computing Systems","Sven Anderson",4,18,Mon Wed, 8:30, 9:50, "Reem Kayden Center 107",,,,,"MC","Experimental Humanities","","This course takes a systems perspective to the study of computers. As our programs scale up from a single author, user, and computer to programs designed, written, maintained, and used by multiple people that run on many computers (sometimes at the same time), considerations beyond algorithms alone are magnified. Design principles and engineering practices help us cope with this complexity: version control for multiple authors, input validation for multiple (adversarial) users, build automation tools for multiple platforms, process and thread models for parallelism. From how numbers are represented in hardware to how instruction-level parallelism and speculation can lead to bugs: the design, implementation, evaluation, safety and security of computing systems will be stressed. Students will explore computers from the ground up, using a variety of programming languages (including assembly) and tools like the command line, debuggers, and version control. Pre-requisites: Object-Oriented Programming or permission of instructor.",91910,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
FILM 335,"Video Installation","Ben Coonley",4,12,Tue, 13:30, 16:30, "Avery Film Center 116/133",,,,,"PA","Experimental Humanities","","",92418,Experimental Humanities,https://inside.bard.edu/academic/courses/fall2023/eh.htm
