web-scraper-order,web-scraper-start-url,title,number,crn,class_cap,credits,professor,schedule,property_1_type,property_1_value,property_2_type,property_2_value,property_3_type,property_3_value,property_4_type,property_4_value,description,programs,programs-href
"1682471332-1085","https://inside.bard.edu/academic/courses/fall2023/menu.htm","The Haunting of America: 
  History, Ghosts and the Undead","AS 200","92007","22","4","Donna Grover","Tue  Thurs    3:30 PM
  – 4:50 PM Olin 201","Distributional","HA Historical
  Analysis  D+J Difference and Justice","Crosslists","Africana Studies; Gender and Sexualities Studies","null","null","null","null","","Gender and Sexuality Studies","https://inside.bard.edu/academic/courses/fall2023/gss.html"
"1682471332-1086","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Labor Economics","ECON 214","91964","22","4","Michael Martell","Mon  Wed     5:10 PM
  - 6:30 PM Hegeman 102","Distributional","SA  Social
  Analysis  D+J Difference and Justice","Crosslists","American
  & Indigenous Studies; Gender and Sexuality Studies; Human Rights","null","null","null","null","","Gender and Sexuality Studies","https://inside.bard.edu/academic/courses/fall2023/gss.html"
"1682471332-1087","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Women's Rights, Human Rights","HR 226","92061","22","4","Robert Weston","Tue  Thurs    3:30 PM
  - 4:50 PM Olin 101","Distributional","SA  Social
  Analysis  D+J Difference and Justice","Crosslists","Gender
  and Sexuality Studies; Global & International Studies","null","null","null","null","","Gender and Sexuality Studies","https://inside.bard.edu/academic/courses/fall2023/gss.html"
"1682471332-1088","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Reproductive Health and Human Rights","HR 354","92070","20","4","Helen Epstein","Thurs    9:10 AM
  - 11:30 AM OSUN Course","Distributional","SA  Social
  Analysis  D+J Difference and Justice","Crosslists","Africana
  Studies; Gender and Sexuality Studies; Global & International Studies","null","null","null","null","","Gender and Sexuality Studies","https://inside.bard.edu/academic/courses/fall2023/gss.html"
"1682471332-1089","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Is Feminist Solidarity Possible?","LIT 2052","92151","22","4","Alys Moody","Mon  Wed     3:30 PM
  - 4:50 PM Hegeman 106","Distributional","LA  Literary
  Analysis in English  D+J
  Difference and Justice","Crosslists","Gender
  and Sexuality Studies; Global & International Studies; Human Rights","null","null","null","null","","Gender and Sexuality Studies","https://inside.bard.edu/academic/courses/fall2023/gss.html"
"1682471332-1090","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Social Psychology","PSY 220","91950","22","4","Kristin Lane","Tue   Fri   1:30 PM
  - 2:50 PM Reem Kayden Center 103","Distributional","SA  Social
  Analysis","Crosslists","Gender
  and Sexuality Studies; Sociology","null","null","null","null","","Gender and Sexuality Studies","https://inside.bard.edu/academic/courses/fall2023/gss.html"
"1682471332-1091","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Sexualities","SOC 262","92119","20","4","Allison McKim","Tue  Thurs    11:50 AM
  - 1:10 PM Olin 101","Distributional","SA  Social
  Analysis  D+J Difference and Justice","Crosslists","American
  & Indigenous Studies; Gender and Sexuality Studies; Human Rights","null","null","null","null","","Gender and Sexuality Studies","https://inside.bard.edu/academic/courses/fall2023/gss.html"
"1682471332-1092","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Children, Youth, & Society","SOC 281","92121","22","4","Jomaira Salas Pujols","Tue  Thurs    3:30 PM
  – 4:50 PM Hegeman 308","Distributional","SA  Social
  Analysis  D+J Difference and Justice","Crosslists","Africana
  Studies; American & Indigenous Studies; Gender and Sexuality Studies","null","null","null","null","","Gender and Sexuality Studies","https://inside.bard.edu/academic/courses/fall2023/gss.html"
"1682471334-1093","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Introduction to Media","ARTS 235","92430","20","4","Joshua Glick","Mon  Wed     3:30 PM
  - 4:50 PM Olin 102","Distributional","AA  Analysis of Art","Crosslists","Human
  Rights; Studio Art","null","null","null","null","This course offers a foundation in media history and theory,
with particular focus on how artists have experimented with emerging
technologies and changing media landscapes in ways that both reflect and
transform culture. We will consider old and new forms alike, from print media
to social media, from the camera obscura to photography, from broadcast
television to early net.art, and from the diorama to virtual reality, as we
explore how media have continually constructed our perceptions of time, space,
knowledge, and identity. We will read media theorists such as Walter Benjamin,
Marshall McLuhan, Jessica Marie Johnson, Donna Haraway, Lev Manovich, Erkki
Huhtamo, and Lisa Nakamura alongside examining the work of artists such as Nam
June Paik, Stephanie Dinkins, Guillermo Goméz-Peña, Wendy Red Star, Ricardo
Dominquez, Mary Flanagan, and Will Wilson. We will also spend hands-on time
working creatively with media, in order to assess our own positions as
producers as well as users and consumers of media. This course fulfills a
requirement for the Experimental Humanities concentration.","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1094","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Social Media and Activism","ARTS 323","92479","15","4","Fahmidul Haq","Wed      
  9:10 AM – 11:30 AM New Annandale House","Distributional","AA  Analysis of Art","null","null","null","null","null","null","Social media has transformed into profit-driven platforms
that monetize user data by selling it to marketers. Despite this, many
individuals have attempted to leverage these platforms for social change. In
recent years, social and political movements have effectively utilized social
media as a tool for advancement. This course will explore the various aspects
of social media activism. Theoretical concepts by Manuel Castells, Christian
Fuchs, and Zeynep Tufekci will be explored, with an emphasis on major movements
such as the Arab Spring, Occupy Wall Street, #metoo, #blacklivesmatter, as well
as movements from countries like Hong Kong, India, Nigeria, and Bangladesh.
Discussion will focus on issues and challenges related to digital activism,
including platform capitalism, misinformation, alt-right populism, and the
collaboration between platforms and governments. Additionally, the course will
delve into the future of social media activism. Work will include several short
assignments as well as a research project.","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1095","https://inside.bard.edu/academic/courses/fall2023/menu.htm","After the Object: Relational Architecture","ARCH 111 TT","92182","12","4","Thena Tak","Mon       10:10
  AM - 1:10 PM Garcia-Renart House","Distributional","PA  Practicing Arts","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1096","https://inside.bard.edu/academic/courses/fall2023/menu.htm","How to Build a Ruin","ARCH 111 SL","92183","12","4","Stephanie Lee","Wed     10:10 AM
  - 1:10 PM Garcia-Renart House","Distributional","PA  Practicing Arts","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1097","https://inside.bard.edu/academic/courses/fall2023/menu.htm","New Manuals: Redesigning Architectural Rituals","ARCH 111 BC","92189","12","4","Betsy Clifton","Mon       1:30 PM
  - 4:30 PM Garcia-Renart House","Distributional","PA  Practicing Arts","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1098","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Post-Eden: Conflicts, Coloniality and Plants","ARCH 214 SL","92188","12","4","Stephanie Lee","Tue      1:30 PM
  - 4:30 PM","null","Thurs    1:30 PM
  - 3:30 PM","Distributional","PA  Practicing Arts  D+J Difference and Justice","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Experimental Humanities","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1099","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Art and Environment: Perspectives on Land, Landscape, and
  Ecology","ARTH 225","91863","22","4","Julia Rosenbaum","Tue  Thurs    3:30 PM
  - 4:50 PM Olin 205","Distributional","AA  Analysis of Art","Crosslists","American
  & Indigenous Studies; Environmental & Urban Studies; Environmental
  Studies; Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1100","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Dura-Europos and the Problems of Archaeological Archives
  (Part 1)","ARTH 318","91857","10","2","Anne Chen","Wed     9:10 AM
  - 11:30 AM Olin 301","Distributional","AA  Analysis of Art","Crosslists","Classical
  Studies; Experimental Humanities; Human Rights; Middle Eastern Studies","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1101","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Food Microbiology","BIO 102","92090","16","4","Gabriel Perron","Fri   12:30 PM
  – 4:30 PM Reem Kayden Center 111/112","Distributional","LS  Laboratory Science","Crosslists","Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1102","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Rethinking Place: Art/Science Collaboration","CC 117 A","92455","22","4","Elias Dueker and Krista Caballero","Tue      1:30 PM
  - 2:50 PM Olin 201","null","Thurs    1:30 PM
  - 2:50 PM Hegeman 300","Distributional","AA Analysis
  of Art; MBV Meaning, Being, Value","Crosslists","American
  & Indigenous Studies; Environmental & Urban Studies; Environmental
  Studies; Experimental Humanities","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1103","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Race and Place: African American-Indigenous
  Studies Approaches","CC 117 B","92398","22","4","Christian Crouch and Peter L'Official","Tue      1:30 PM
  - 2:50 PM Olin 201","null","Thurs    1:30 PM
  - 2:50 PM Olin 308","Distributional","AA Analysis of Art; MBV
  Meaning, Being, Value","Crosslists","American
  & Indigenous Studies; Environmental & Urban Studies; Environmental
  Studies; Experimental Humanities","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1104","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Rethinking Place: Methods and Theory","CC 117 C","92456","22","4","Margaux Kristjansson and Luis Chavez","Tue      1:30 PM
  - 2:50 PM Olin 201","null","Thurs    1:30 PM
  - 2:50 PM Olin 310","Distributional","AA Analysis
  of Art; MBV Meaning, Being, Value","Crosslists","American
  & Indigenous Studies; Environmental & Urban Studies; Environmental
  Studies; Experimental Humanities","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1105","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Object-Oriented Programming","CMSC 141 A","91907","18","4","Rose Sloan","Mon  Wed     10:10 AM
  - 11:30 AM Reem Kayden Center 107","null","Fri   10:00 AM
  - 12:00 PM Reem Kayden Center 107","Distributional","MC  Mathematics and Computing","Crosslists","Experimental
  Humanities; Mind, Brain, Behavior","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1106","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Object-Oriented Programming","CMSC 141 B","91908","18","4","Bob McGrail","Tue  Thurs    10:10 AM
  - 11:30 AM Reem Kayden Center 107","null","Fri   12:00 PM
  - 2:00 PM Reem Kayden Center 107","Distributional","MC  Mathematics and Computing","Crosslists","Experimental
  Humanities; Mind, Brain, Behavior","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1107","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Principles:Computing Systems","CMSC 226","91910","18","4","Sven Anderson","Mon  Wed     8:30 AM
  - 9:50 AM Reem Kayden Center 107","Distributional","MC  Mathematics and Computing","Crosslists","Experimental
  Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1108","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Video Installation","FILM 335","92418","12","4","Ben Coonley","Tue      1:30 PM
  - 4:30 PM Avery Film Center 116/133","Distributional","PA  Practicing Arts","Crosslists","Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1109","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Video advocacy: Clemency (Production)","HR 321 A","92067","18","4","Brent Green Thomas Keenan","Tue      12:30 PM
  - 2:50 PM Avery Film Center 338","Distributional","PA  Practicing Arts  D+J Difference and Justice","Crosslists","Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1110","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Video advocacy: Clemency (Reading)","HR 321 B","92068","18","2","Brent Green Thomas Keenan","Tue      11:00 AM
  - 12:15 PM Avery Film Center 338","Distributional","PA  Practicing Arts  D+J Difference and Justice","Crosslists","Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1111","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Technology, Labor, Capitalism","HIST 180","92034","22","4","Jeannette Estruth","Tue  Thurs    5:10 PM
  - 6:30 PM Reem Kayden Center 101","Distributional","HA  Historical Analysis  D+J Difference and Justice","Crosslists","American
  & Indigenous Studies; Environmental & Urban Studies; Environmental
  Studies; Experimental Humanities; Human Rights; Science, Technology, Society","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1112","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Landscape Studies: The Hudson River Valley","HUM 234","92173","22","4","Jana Mader","Tue  Thurs    1:30 PM
  - 2:50 PM Henderson Comp. Center 106","Distributional","HA  Historical Analysis","Cross","Architecture;
  Environmental and Urban Studies; Environmental Studies; Experimental
  Humanities; Literature","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1113","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Failing with Style: Introduction to Renaissance Poetry","LIT 144","92126","22","4","Adhaar Desai","Tue  Thurs    1:30 PM
  - 2:50 PM Olin 205","Distributional","LA  Literary Analysis in English","null","null","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1114","https://inside.bard.edu/academic/courses/fall2023/menu.htm","The Book Before Print","LIT 2414","92145","22","4","Marisa Libbon","Tue  Thurs    11:50 AM
  - 1:10 PM Reem Kayden Center 102","Distributional","LA  Literary Analysis in English","Crosslists","Experimental
  Humanities; Medieval Studies","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1115","https://inside.bard.edu/academic/courses/fall2023/menu.htm","What is a Character?","LIT 263","92139","22","4","Adhaar Desai","Tue  Thurs    10:10 AM
  - 11:30 AM Albee 106","Distributional","LA  Literary Analysis in English","Crosslists","Experimental
  Humanities; Written Arts","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1116","https://inside.bard.edu/academic/courses/fall2023/menu.htm","American Study","LIT 3233","92155","15","4","Peter L'Official","Mon     12:30 PM
  - 2:50 PM Olin 308","Distributional","LA  Literary Analysis in English  D+J Difference and Justice","Crosslists","American
  & Indigenous Studies; Environmental & Urban Studies; Environmental
  Studies; Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1117","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Digital Theaters","THTR 369","92387","15","4","Miriam Felton-Dansky","Tue      12:30 PM – 2:50 PM Hegeman 300","Distributional","AA  Analysis of
  Art","Crosslists","Experimental Humanities","null","null","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471334-1118","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Poetics of Attention","WRIT 126","92166","14","4","Philip Pardi","Wed     10:10 AM
  – 11:10 AM Hegeman 200","null","Fri   10:10 AM – 1:10
  PM Olin Languages Center 115","Distributional","PA  Practicing Arts","Crosslists","Experimental
  Humanities","null","null","","Experimental Humanities","https://inside.bard.edu/academic/courses/fall2023/eh.htm"
"1682471336-1119","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Introduction to Environmental Studies","EUS 100","92023","35","4","Beate Liepert Monique Segarra","Mon  Wed     9:10 AM
  - 11:30 AM Olin 102","Distributional","SA  Social Analysis","null","null","null","null","null","null","Humans have profoundly altered the character of the Earth’s
system since the advent of agriculture and urbanization 10,000 years ago. This
course explores how natural and human systems are connected, and how global
problems such as climate change, biodiversity loss, species extinction are
linked with one another and with social problems such as financial instability,
widening economic inequality, food insecurity, intensifying conflict, and
public health. We review the empirical evidence of these “wicked problems”, and
introduce core concepts and methodologies from natural, and social sciences
perspectives, together with practical skills that are required to tackle these
issues. We will contemplate alternative political and socioeconomic options
(from indigenous knowledge to shared socioeconomic pathways) and will explore
how impacts of these decisions on future natural and human systems can be assessed
(foresight work). Issues will be considered at a variety of scales—from the
level of individual responsibility to the local, regional, national, and global
dimensions. The course includes a community service component, labs, and guest
lectures.  It will be co-taught by
instructors in the natural and social sciences.","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1120","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Climate Change and its Human Dimension","EUS 102","92021","20","4","Beate Liepert","Mon       3:30 PM
  - 5:50 PM Reem Kayden Center 111","Laboratory","Wed     3:30 PM
  - 5:50 PM Reem Kayden Center 114/115","Distributional","LS  Laboratory Science","Crosslists","Physics","null","null","Understanding the scientific facts of a changing climate in
the past and present will guide our decision making today for a healthier
future 20, 50 and 100 years from now. In this course we will explore how
greenhouse gasses and other human-made disturbances impact Earth’s climate, how
ongoing and projected human-made changes compare to natural variability, and
discuss implications of climate change to human and natural systems. Climate
policies, climate justice, pathways and strategies for adaptation and mitigation
are further topics of this course. This course has a lab component in which
physical principles are explored in hands-on experiments and data analyses.
Climate issues of special interest to the students will be explored in a
semester-long project. The course has no prerequisites but basic knowledge of
spreadsheets and some physics and math is advantageous.","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1121","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Introduction to Geography and GeoSciences","EUS 113","92022","16","4","Jordan Ayala","Tue  Thurs    1:30 PM
  - 2:50 PM Henderson Comp. Center 101A","Distributional","SA  Social Analysis","null","null","null","null","null","null","Geography is both a physical and social science. This course
presents the fundamental concepts of geography and geosciences and explores how
these concepts are applied to our everyday lives. The course covers basic
geographic concepts and the techniques used by physical and human geographers
to study the earth and portray spatial information. The course presents a
geography of the modern world with attention to human-environment
relationships, urbanization, and regional development, communication and
transportation, environment and change, as well as environmental governance,
justice, and sustainability. The course aims to introduce students to a variety
of new ways of seeing the world and key geography subfields.","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1122","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Water Quality Research","EUS 221","92024","20","4","Elias Dueker","Tue  Thurs    8:30 AM
  - 9:50 AM Reem Kayden Center 115","null","Tue  Thurs    8:30 AM
  - 11:30 AM Reem Kayden Center 114","Distributional","LS  Laboratory Science","null","null","null","null","This course will be a hands-on exploration of the science
behind pressing global, regional, and local environmental issues associated
with climate change, protection of drinking water resources, freshwater and
marine ecosystem degradation, and wastewater treatment. Lab work will be guided
by scientific questions being asked by local community leaders, including
detection of anthropogenic influence, management and maintenance of water
resources,  and frontiers of managing
emerging contaminants like PFAS and antibiotic resistance genes. Prerequisites:
100-level lab science course or permission of instructor.","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1123","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Social Entrepreneurship Practicum","EUS 305E","92025","30","4","Alejandro Crawford","Mon  Wed     8:30 AM
  - 9:50 AM Reem Kayden Center 103","Distributional","SA  Social Analysis","null","null","null","null","null","null","In
this course, students work in teams to develop their own ideas for non-profit
or for-profit businesses that work to solve social and environmental
challenges. The course combines in-person
instruction with a global classroom,
where students convene each week in a common zoom space to share ideas.
Participating schools include BRAC University in Bangladesh, Al Quds University
in Palestine, the American Universities of Central Asia (in Kyrgyzstan) and of
Bulgaria, Universidad de Los Andes in Colombia, and Bard. Past certificate
courses have incubated powerful social business ideas in Bangladesh, Palestine and the US.  The course culminates in a “shark tank
for sustainability” among and between teams from the different universities.
The course includes readings and discussion focused on social issues related to
entrepreneurship: drivers of change, from decarbonization to AI; delinking
growth from material throughput; urban-based innovation ecosystems; social
obstacles to risk taking; working on multi-disciplinary teams; language, power
and gender dynamics in entrepreneurship; deconstructing the archetypes of
entrepreneurship.","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1124","https://inside.bard.edu/academic/courses/fall2023/menu.htm","GIS for Environmental Justice","EUS 321","92026","16","4","Jordan Ayala","Mon  Wed     11:50 AM
  - 1:50 PM Henderson Comp. Center 101A","Distributional","SA  Social Analysis","Crosslists","Architecture;
  Historical Studies; Human Rights","null","null","null","null","Using ESRI GIS software and associated apps, students will receive
formal instruction in the fundamentals of using spatial information, conducting
spatial analysis, and producing high-quality cartographic products. Students
will learn how GIS may be used as a tool for identifying and assessing
environmental justice (EJ) issues at the local, regional and global scale.
Students will apply these GIS skills and knowledge base to a team-based
research project focused on an environmental justice problem. The course
culminates in a presentation workshop session, where students show their
analysis and results to their peers, professors and the greater Bard
community.  Students complete a
semester-long course project which applies GIS analysis tools and knowledge of
spatial thinking and human geography to analyze a problem, research question,
or policy question related to environmental justice. The project will allow the
students to apply their GIS knowledge to analyze problems discussed in their
other classes, in their community, or areas of interest. Students are encouraged
to focus their work in such a way that allows them to meaningfully and
productively engage with a community impacted by the topic of their project.","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1125","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Statistics and Econometrics","EUS 340","92029","4","4","Gautam Sethi","Mon    Fri   1:30 PM
  - 3:00 PM Albee 102","Distributional","MC  Mathematics and Computing","null","null","null","null","null","null","This course provides an introduction to the quantitative tools
for monitoring, analyzing data, and evaluating the state of the environment and
for developing policy. Through practical and real-world applications, students
learn statistical and econometric methods that identify problem areas and
measure the efficacy of policy tools. This course focuses both on concepts
underlying statistical methods as well as problem solving through the use of
STATA, a popular statistical software package. Approval of instructor required
for admission to course.","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1126","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Introduction to Environmental Policy I","EUS 405","92028","5","4","Monique Segarra","Tue  Thurs    1:30 PM
  - 2:50 PM Albee 102","Distributional","SA  Social Analysis  D+J Difference and Justice","null","null","null","null","null","null","During this course, students analyze the political forces
that impact the policy making process and the legal and regulatory instruments
that have been developed to protect the environment and human health. The class
provides a political framework to capture the dynamic and complex relationships
between these and other critical factors 
scientific, economic, cultural, institutional and ethical  that influence how society responds to
environmental problems from the local to international levels. In addition,
this class will help us track and navigate the larger political context that
has provided openings for the modern environmental movement to emerge in the
United States during the 1960s, and the advancement and retrenchment of
environmental law and policies over time, both at the domestic and
international level. The historical context is critical for understanding how
we arrived at the present moment, one with a fraught political sphere and
decades of past policy choices that has structured inequality and led to severe
environmental injustice in many areas of the country.","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1127","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Ancient Indigenous Peoples before the Bard Lands:
  Archaeology Methods and Theory","ANTH 211","92011","12","4","Christopher Lindner","Thurs    1:30 PM
  - 2:50 PM Albee 106","null","Fri   1:30 PM
  - 4:30 PM Albee 106","Distributional","LS  Laboratory Science","Crosslists","American
  & Indigenous Studies; Environmental & Urban Studies; Environmental
  Studies","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1128","https://inside.bard.edu/academic/courses/fall2023/menu.htm","The Rift and the Nile","ANTH 218","92012","22","4","John Ryle","Mon  Wed     10:10 AM
  - 11:30 AM Olin 107","Distributional","SA  Social Analysis  D+J Difference and Justice","Crosslists","Africana
  Studies; Environmental & Urban Studies; Environmental Studies; Historical
  Studies; Human Rights","null","null","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1129","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Anthropology of Food","ANTH 242","92010","22","4","Sucharita Kanjilal","Mon  Wed     3:30 PM
  – 4:50 PM Olin 201","Distributional","SA  Social Analysis  D+J Difference and Justice","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Global & International
  Studies; Human Rights","null","null","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1130","https://inside.bard.edu/academic/courses/fall2023/menu.htm","After the Object: Relational Architecture","ARCH 111 TT","92182","12","4","Thena Tak","Mon       10:10
  AM - 1:10 PM Garcia-Renart House","Distributional","PA  Practicing Arts","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Experimental Humanities","null","null","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1131","https://inside.bard.edu/academic/courses/fall2023/menu.htm","How to Build a Ruin","ARCH 111 SL","92183","12","4","Stephanie Lee","Wed     10:10 AM
  - 1:10 PM Garcia-Renart House","Distributional","PA  Practicing Arts","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Experimental Humanities","null","null","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1132","https://inside.bard.edu/academic/courses/fall2023/menu.htm","New Manuals: Redesigning Architectural Rituals","ARCH 111 BC","92189","12","4","Betsy Clifton","Mon       1:30 PM
  - 4:30 PM Garcia-Renart House","Distributional","PA  Practicing Arts","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Experimental Humanities","null","null","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1133","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Urbanization and Climate Change: A Counter-History","ARCH 213","92187","18","4","Ross Adams","Tue  Thurs    11:50 AM
  - 1:10 PM Garcia-Renart House","Distributional","SA  Social Analysis","Crosslists","Environmental
  & Urban Studies; Environmental Studies","null","null","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1134","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Post-Eden: Conflicts, Coloniality and Plants","ARCH 214 SL","92188","12","4","Stephanie Lee","Tue      1:30 PM
  - 4:30 PM","null","Thurs    1:30 PM
  - 3:30 PM","Distributional","PA  Practicing Arts  D+J Difference and Justice","Crosslists","Environmental
  & Urban Studies; Environmental Studies; Experimental Humanities","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1135","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Situating Architecture: Modernisms","ARTH 126","91867","22","4","Olga Touloumi","Wed  Fri   11:50 AM
  - 1:10 PM Olin 204","Distributional","AA  Analysis of Art","Crosslists","Architecture;
  Environmental & Urban Studies; Environmental Studies","null","null","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
"1682471336-1136","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Art and Environment: Perspectives on Land, Landscape, and
  Ecology","ARTH 225","91863","22","4","Julia Rosenbaum","Tue  Thurs    3:30 PM
  - 4:50 PM Olin 205","Distributional","AA  Analysis of Art","Crosslists","American
  & Indigenous Studies; Environmental & Urban Studies; Environmental
  Studies; Experimental Humanities","null","null","null","null","","Environmental Studies","https://inside.bard.edu/academic/courses/fall2023/es.htm"
